20/5/2017 18:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:34;26,74083333;L;26,8215;20/5/2017 18:34;P;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:35;27,13816666;Q;27,21916667;20/5/2017 18:35;P;7;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:36;28,32166666;SM;28,58183333;20/5/2017 18:36;T;7;4;7;6;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:36;28,79416666;TL;29,06533333;20/5/2017 18:37;P;6;7;8;4;3;2;6;12;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:37;29,62766667;Q;29,76549999;20/5/2017 18:37;P;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:38;30,47383333;Q;30,72833333;20/5/2017 18:38;P;0;3;8;10;9;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:39;31,30833333;Q;31,39;20/5/2017 18:39;T;3;4;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:39;31,44916666;L;31,66749999;20/5/2017 18:39;T;8;4;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:39;31,7595;L;31,8865;20/5/2017 18:39;P;5;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:40;32,07483333;Q;32,16866666;20/5/2017 18:40;T;2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:41;33,28633333;A;33,37066666;20/5/2017 18:41;T;0;10;9;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:41;33,42199999;L;33,45166666;20/5/2017 18:41;T;6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:42;34,77283332;L;34,82283333;20/5/2017 18:42;P;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:43;35,64566666;Q;35,88133333;20/5/2017 18:43;P;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:44;36,20299999;L;36,24016666;20/5/2017 18:44;P;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:44;36,84733333;A;37,01333333;20/5/2017 18:45;P;0;11;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:45;37,52983333;Q;37,62466666;20/5/2017 18:45;P;4;8;12;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:45;37,88366666;Q;38,05916666;20/5/2017 18:46;P;1;2;14;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:46;38,262;Q;38,31133333;20/5/2017 18:46;P;8;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:46;38,35433332;Q;39,407;20/5/2017 18:47;P;8;7;11;12;12;8;7;6;11;7;11;7;10;9;9;10;9;10;11;11;11;10;10;9;10;6;7;11;15;15
20/5/2017 18:47;39,4975;Q;39,91966666;20/5/2017 18:47;P;3;7;8;7;6;5;9;6;7;6;7;11;;;;;;;;;;;;;;;;;;
20/5/2017 18:48;40,04233333;Q;40,34916666;20/5/2017 18:48;P;8;12;11;10;14;11;10;17;14;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:48;40,87099999;Q;40,93533333;20/5/2017 18:48;P;3;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:50;42,20116666;Q;42,23966666;20/5/2017 18:50;T;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:50;42,30716666;TL;42,78349999;20/5/2017 18:50;P;6;7;10;5;6;5;6;3;8;7;4;11;;;;;;;;;;;;;;;;;;
20/5/2017 18:50;42,91066666;Q;43,21416666;20/5/2017 18:51;T;3;8;7;6;5;9;14;17;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:51;43,79599999;C;44,01866666;20/5/2017 18:52;T;C3;15;17;14;;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:52;44,11233333;C;44,28966666;20/5/2017 18:52;P;C3;13;9;13;17;;;;;;;;;;;;;;;;;;;;;;;;;
20/5/2017 18:53;45,32166666;Q;45,60566666;20/5/2017 18:53;P;2;6;7;4;7;7;8;12;;;;;;;;;;;;;;;;;;;;;;
